Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments
Dota 2,2013,Multiplayer Online Battle Arena,226085652.3,12578963.95,3745,1409
Counter-Strike: Global Offensive,2012,First-Person Shooter,100689160.4,26004120.57,12981,5172
Fortnite,2017,Battle Royale,94186597.34,52311998.46,3832,593
League of Legends,2009,Multiplayer Online Battle Arena,77616583.58,6636342.96,7032,2457
StarCraft II,2010,Strategy,33479094.16,4652134.83,2065,5891
PLAYERUNKNOWN’S BATTLEGROUNDS,2017,Battle Royale,23510378.57,3808852.71,2754,293
Hearthstone,2014,Collectible Card Game,22324336.92,3848157.35,2385,880
Overwatch,2016,First-Person Shooter,22049333.28,3822852.83,3494,740
Heroes of the Storm,2015,Multiplayer Online Battle Arena,18170133.73,3973717.78,1205,459
Arena of Valor,2015,Multiplayer Online Battle Arena,14906095.63,629000.0,550,50
Counter-Strike,2000,First-Person Shooter,13492961.87,713229.74,4137,994
Rainbow Six Siege,2015,First-Person Shooter,12214525.74,2227312.61,1552,228
Rocket League,2015,Sports,9103504.89,5019639.34,1066,1075
SMITE,2014,Multiplayer Online Battle Arena,8640112.75,767280.18,522,95
StarCraft: Brood War,1998,Strategy,8251181.43,320362.11,674,571
Call of Duty: Black Ops 4,2018,First-Person Shooter,7270138.95,321377.0,451,82
Halo 5: Guardians,2015,First-Person Shooter,7071480.97,288800.0,233,75
CrossFire,2007,First-Person Shooter,6448845.02,572535.79,629,306
WarCraft III,2002,Strategy,5811479.73,772608.87,558,1335
Magic: The Gathering Arena,2018,Collectible Card Game,5512000.0,158000.0,232,36
World of WarCraft,2004,Role-Playing Game,4957837.61,341948.7,413,118
Call of Duty: World War II,2017,First-Person Shooter,4559271.0,60666.0,266,64
Call of Duty: Infinite Warfare,2016,First-Person Shooter,4156205.06,106350.0,341,80
Call of Duty: Black Ops III,2015,First-Person Shooter,3939783.29,156706.27,420,78
Apex Legends,2019,Battle Royale,3881901.69,1867480.94,1063,166
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2017,Battle Royale,3727653.07,1074150.0,967,38
World of Tanks,2010,Strategy,3656496.59,58464.87,403,50
Clash Royale,2016,Strategy,3319748.27,170109.29,287,50
FIFA 19,2018,Sports,3242642.34,9614.51,303,48
Shadowverse,2016,Collectible Card Game,3211177.09,130800.0,239,42
Super Smash Bros. Melee,2001,Fighting Game,3208949.74,30205.74,1877,2607
Counter-Strike: Source,2004,First-Person Shooter,3117222.29,240456.26,1504,333
Gears of War 4,2016,Third-Person Shooter,3087285.0,32285.0,135,41
Heroes of Newerth,2010,Multiplayer Online Battle Arena,2915206.56,1362316.55,813,371
Call of Duty: Advanced Warfare,2014,First-Person Shooter,2608808.93,344172.79,784,404
Quake Champions,2017,First-Person Shooter,2259118.25,138631.13,250,239
FIFA 18,2017,Sports,2233697.69,12430.61,238,48
Street Fighter V,2016,Fighting Game,2202726.43,0.0,233,120
Halo 3,2007,First-Person Shooter,2158079.4,6600.0,210,41
Paladins,2015,First-Person Shooter,2134866.6,475866.6,555,64
H1Z1,2016,Battle Royale,2067122.0,0.0,119,13
Street Fighter V: Arcade Edition,2018,Fighting Game,2017135.95,850.0,229,100
Call of Duty: Modern Warfare,2019,First-Person Shooter,1837284.5,1193722.0,245,38
Tekken 7,2015,Fighting Game,1622203.85,18542.6,399,215
Call of Duty: Ghosts,2013,First-Person Shooter,1594185.25,89712.36,199,76
Super Smash Bros. for Wii U,2014,Fighting Game,1511976.47,1900.0,1264,1022
Call of Duty: Warzone,2020,First-Person Shooter,1504638.96,1504638.96,369,66
Halo 2,2004,First-Person Shooter,1489362.47,0.0,119,71
FIFA 17,2016,Sports,1482612.63,0.0,156,48
Age of Empires II,1999,Strategy,1480089.01,862909.14,827,549
Call of Duty: Black Ops 2,2012,First-Person Shooter,1467139.25,37067.62,184,53
FIFA Online 3,2012,Sports,1434341.9,0.0,89,9
Super Smash Bros. Ultimate,2018,Fighting Game,1292959.76,93712.23,1853,1170
Magic: The Gathering Online,2002,Collectible Card Game,1218000.0,0.0,130,10
rFactor 2,2013,Racing,1164860.81,102313.87,138,33
Call of Duty: Modern Warfare 3,2011,First-Person Shooter,1160815.66,15860.0,209,45
Brawlhalla,2015,Fighting Game,1159994.09,467993.79,497,387
Quake III Arena,1999,First-Person Shooter,1137832.19,6569.58,243,100
chess24,2014,Strategy,1084696.09,1084696.09,60,9
Auto Chess,2019,Strategy,1076322.28,40800.0,72,6
FIFA 20,2019,Sports,1068673.72,26282.73,239,38
Painkiller,2004,First-Person Shooter,1015000.0,0.0,48,13
Madden NFL 2017,2016,Sports,1004000.0,0.0,42,5
Turbo Racing League,2013,Racing,1000000.0,500000.0,16,9
NBA 2K18,2017,Sports,1000000.0,0.0,91,4
VALORANT,2020,First-Person Shooter,955975.14,945345.14,1405,198
iRacing.com,2008,Racing,920317.13,794863.03,695,88
Free Fire,2017,Battle Royale,913392.23,80150.0,289,12
Defense of the Ancients,2003,Multiplayer Online Battle Arena,857420.65,27761.97,468,94
