title,genre,total_sales,na_sales,release_date
The Sims 3,Simulation,7.96,1.01,2009-06-02
Microsoft Flight Simulator,Simulation,5.12,3.22,1996-10-31
The Sims 4,Simulation,4.1,1.2,2014-09-02
The Elder Scrolls V: Skyrim,Role-Playing,3.99,1.18,2011-11-11
The Sims: Unleashed,Simulation,3.76,2.03,2002-09-23
Doom II,Shooter,3.61,2.05,1994-09-30
The Sims: Vacation,Simulation,3.07,1.72,2002-03-25
The Sims: Livin Large,Misc,2.99,1.67,2000-08-27
Command & Conquer: Red Alert,Strategy,2.85,1.37,1996-11-01
Battlefield 3,Shooter,2.76,0.89,2011-10-25
Theme Hospital,Strategy,2.4,2.3,1997-03-31
Monopoly,Misc,2.39,1.49,1995-01-01
Tomb Raider II,Adventure,2.29,0.91,1997-10-31
The Sims: House Party,Simulation,2.16,1.23,2001-03-26
SimCity 2000,Simulation,2.14,1.2,1993-01-01
Sim Theme Park,Strategy,2.08,2.04,1999-10-31
Star Wars: Dark Forces,Shooter,1.95,1.09,1995-02-28
Who Wants to be a Millionaire,Misc,1.94,1.94,1999-11-23
The Sims: Makin' Magic,Simulation,1.92,1.03,2003-10-28
The Sims: Hot Date,Simulation,1.82,1.81,2001-11-21
Call of Duty: Modern Warfare 3,Shooter,1.71,0.41,2011-11-08
Sid Meier's Civilization V,Strategy,1.7,1.0,2010-09-21
The Sims 3: Late Night Expansion Pack,Simulation,1.69,0.59,2010-10-26
The Sims: Superstar,Simulation,1.68,1.67,2003-05-12
Call of Duty: Black Ops,Shooter,1.62,0.58,2010-11-09
Final Fantasy XIV Online,MMO,1.58,0.93,2010-09-22
Call of Duty: Black Ops II,Shooter,1.51,0.66,2012-11-13
Football Manager 2012,Sports,1.5,0.02,2011-10-21
Battlefield 4,Shooter,1.39,0.44,2013-10-29
Command & Conquer: Red Alert 2,Strategy,1.34,1.32,2000-10-21
The Sims 2: Nightlife,Simulation,1.27,1.22,2005-09-13
RollerCoaster Tycoon 2,Strategy,1.25,1.19,2002-10-15
Spore,Strategy,1.16,0.03,2008-09-07
Tomb Raider,Action,1.03,0.96,1996-11-14
The Elder Scrolls Online,MMO,1.02,0.35,2014-04-04
The Witcher 2: Assassins of Kings,Role-Playing,0.98,0.27,2011-05-17
Fallout 3,Role-Playing,0.98,0.02,2008-10-28
Grand Theft Auto: San Andreas,Action,0.97,0.0,2005-06-07
Mass Effect 3,Role-Playing,0.96,0.4,2012-03-06
Borderlands 2,Shooter,0.94,0.43,2012-09-18
Overwatch,Shooter,0.92,0.37,2016-05-24
Far Cry 3,Shooter,0.92,0.22,2012-12-04
Assassin's Creed,Adventure,0.91,0.01,2008-04-08
Assassin's Creed III,Action-Adventure,0.89,0.28,2012-11-20
Call of Duty: Modern Warfare 2,Shooter,0.88,0.01,2009-11-10
Grand Theft Auto IV,Action,0.87,0.01,2008-12-02
