Month,Average_Stream,Gain_Stream,% Gain_Stream,Peak_Stream,Average_Views,Gain_Views,% Gain_Views,Peak_Views,Value,Gain_Hours,% Gain_Hours,Unnamed: 4
Oct-20,151K,"-53,045",-26%,754K,3.0K,-450,-12.90%,9.1K,83.4M,-63.5M,-43.20%,
Sep-20,204K,"162,989",396%,743K,3.5K,"2,985",598%,12.4K,147M,+116M,380%,
Aug-20,41.1K,"35,502",629%,267K,499,445,824%,3.0K,30.6M,+26.4M,634%,
Jul-20,5.6K,"5,473",+3.2K%,88.3K,54,40,286%,221,4.16M,+4.04M,+3.4K%,
Jun-20,171,-280,-62.10%,7.0K,14,1,7.70%,61,120K,-202K,-62.70%,
May-20,451,291,182%,27.5K,13,5,62.50%,42,322K,+216K,204%,
Apr-20,160,42,35.60%,3.8K,8,3,60%,36,106K,+32.1K,43.60%,
Mar-20,118,34,40.50%,16.7K,5,1,25%,22,73.8K,+27.8K,60.60%,
Feb-20,84,6,7.70%,2.4K,4,2,100%,17,45.9K,+12.1K,35.70%,
Jan-20,78,49,169%,2.8K,2,1,100%,11,33.9K,+25.6K,311%,
Dec-19,29,5,20.80%,1.2K,1,-,-,5,8.2K,+1.6K,25%,
Nov-19,24,9,60%,2.1K,1,-1,-50%,7,6.6K,227,3.60%,
Oct-19,15,-32,-68.10%,523,2,-,-,8,6.4K,-20.3K,-76.10%,
Sep-19,47,-75,-61.50%,6.0K,2,-1,-33.30%,12,26.7K,-31.2K,-53.90%,
Aug-19,122,90,281%,26.4K,3,1,50%,13,57.9K,+42.7K,280%,
Jul-19,32,23,256%,2.0K,2,1,100%,11,15.2K,+14.0K,+1.2K%,
Jun-19,9,8,800%,259,1,-,-,4,1.2K,+1.1K,+1.4K%,
May-19,1,-2,-66.70%,11,1,-,-,3,81,-96,-54.20%,
Apr-19,3,2,200%,68,1,-,-,3,177,128,261%,
Mar-19,1,-,-,7,1,-,-,3,49,46,+1.5K%,
Feb-19,1,-307,-99.70%,3,1,-,-,1,3,-2.9K,-99.90%,
Jan-19,308,242,367%,4.4K,1,-,-,2,2.9K,967,50.70%,
Dec-18,66,"-1,487",-95.80%,455,1,-,-,1,1.9K,-7.4K,-79.50%,
Nov-18,1.6K,-,-,7.4K,1,-,-,3,9.3K,-,-,
