Month,Average_Stream,Gain_Stream,% Gain_Stream,Peak_Stream,Average_Views,Gain_Views,% Gain_Views,Peak_Views,Value,Gain_Hours,% Gain_Hours
Oct-20,8.7K,-230,-2.60%,22.1K,102K,-462,-0.50%,403K,56.4M,-17.4M,-23.60%
Sep-20,8.9K,-189,-2.10%,17.4K,103K,"-10,619",-9.40%,364K,73.8M,-10.3M,-12.30%
Aug-20,9.1K,377,4.30%,32.0K,113K,"-4,921",-4.20%,947K,84.2M,-3.63M,-4.10%
Jul-20,8.7K,"1,170",15.50%,16.6K,118K,"-2,347",-1.90%,359K,87.8M,+1.26M,1.50%
Jun-20,7.5K,-345,-4.40%,13.9K,121K,"-2,486",-2%,403K,86.5M,-4.66M,-5.10%
May-20,7.9K,181,2.40%,14.8K,123K,"11,598",10.40%,354K,91.2M,+11.5M,14.40%
Apr-20,7.7K,"1,947",33.90%,13.2K,111K,"-18,165",-14%,396K,79.7M,-16.4M,-17.10%
Mar-20,5.7K,"4,364",316%,13.9K,130K,"116,659",902%,521K,96.2M,+87.2M,971%
Feb-20,1.4K,271,24.40%,3.5K,12.9K,804,6.60%,74.8K,8.98M,-46.4K,-0.50%
Jan-20,1.1K,-200,-15.30%,2.5K,12.1K,"-11,671",-49%,85.7K,9.02M,-8.65M,-48.90%
Dec-19,1.3K,-661,-33.60%,2.8K,23.8K,"-13,947",-36.90%,116K,17.7M,-8.40M,-32.20%
Nov-19,2.0K,928,89.10%,4.8K,37.7K,"6,617",21.30%,140K,26.1M,+4.21M,19.20%
Oct-19,1.0K,438,72.50%,13.3K,31.1K,"14,208",84%,373K,21.9M,+9.70M,79.80%
Sep-19,604,524,655%,7.3K,16.9K,"12,688",300%,293K,12.2M,+9.34M,330%
Aug-19,80,79,+7.9K%,1.8K,4.2K,"3,501",478%,387K,2.83M,+2.66M,+1.5K%
Jul-19,1,-,-,101,733,727,+12.1K%,134K,174K,+173K,+11.5K%
Jun-19,1,-2,-66.70%,6,6,-122,-95.30%,1.1K,1.5K,-6.6K,-81.40%
May-19,3,-,-,78,128,-,-,7.4K,8.1K,-,-
