Month,Average_Stream,Gain_Stream,% Gain_Stream,Peak_Stream,Average_Views,Gain_Views,% Gain_Views,Peak_Views,Value,Gain_Hours,% Gain_Hours
20-Oct,8700.00,-230,-2.60%,22100.00,102000.00,-462,-0.50%,403000.00,"56,400,000","-17,400,000",-23.60%
20-Sep,8900.00,-189,-2.10%,17400.00,103000.00,"-10,619",-9.40%,364000.00,"73,800,000","-10,300,000",-12.30%
20-Aug,9100.00,377,4.30%,32000.00,113000.00,"-4,921",-4.20%,974000.00,"84,200,000","-3,630,000",-4.10%
20-Jul,8700.00,"1,170",15.50%,16600.00,118000.00,"-2,347",-1.90%,359000.00,"87,800,000","1,260,000",1.50%
20-Jun,7500.00,-345,-4.40%,13900.00,121000.00,"-2,486",-2%,403000.00,"86,500,000","-4,660,000",-5.10%
20-May,7900.00,181,2.40%,14800.00,123000.00,"11,598",10.40%,354000.00,"91,000,000","11,500,000",14.40%
20-Apr,7700.00,"1,947",33.90%,13200.00,111000.00,"-18,165",-14%,396000.00,"79,900,000","-16,400,000",-17.10%
20-Mar,5700.00,"4,364",316%,13900.00,130000.00,"116,659",902%,521000.00,"96,000,000","87,200,000",971%
20-Feb,1400.00,271,24.40%,3500.00,12900.00,804,6.60%,74800.00,"8,980,000","-46,400",-0.50%
20-Jan,1100.00,-200,-15.30%,2500.00,12100.00,"-11,671",-49%,85700.00,"9,002,000","-8,650,000",-48.90%
19-Dec,1300.00,-661,-33.60%,2800.00,23800.00,"-13,947",-36.90%,116000.00,"17,000,000","-8,400,000",-32.20%
19-Nov,2000.00,928,89.10%,4800.00,37000.00,"6,617",21.30%,140000.00,"26,100,000","4,210,000",19.20%
19-Oct,1000.00,438,72.50%,13300.00,31000.00,"14,208",84%,373000.00,"21,900,000","9,700,000",79.80%
19-Sep,604.00,524,655%,7300.00,16900.00,"12,688",300%,293000.00,"12,200,000","9,340,000",330%
19-Aug,80.00,79,7900%,1800.00,4200.00,"3,501",478%,387000.00,"2,830,000","2,660,000",+1.5K%
19-Jul,1.00,-,-,101.00,733.00,727,+12.1K%,134000.00,"174,000","173,000",+11.5K%
19-Jun,1.00,-2,-66.70%,6.00,6.00,-122,-95.30%,1100.00,"1,500","-6,600",-81.40%
19-May,3.00,-,-,78.00,128.00,-,-,7400.00,"8,100",-,-
