Month,Average_Stream,Gain_Stream,% Gain_Stream,Peak_Stream,Average_Views,Gain_Views,% Gain_Views,Peak_Views,Value,Gain_Hours,% Gain_Hours
20-Oct,1.5K,54,3.80%,2.8K,77.5K,"3,168",4.30%,439K,42.8M,-10.7M,-20%
20-Sep,1.4K,-9,-0.60%,2.6K,74.4K,"9,608",14.80%,311K,53.5M,+5.36M,11.10%
20-Aug,1.4K,-159,-9.90%,2.5K,64.8K,"8,333",14.80%,324K,48.1M,+6.21M,14.80%
20-Jul,1.6K,-351,-18%,3.1K,56.4K,"-49,119",-46.50%,198K,41.9M,-33.8M,-44.70%
20-Jun,1.9K,-449,-18.70%,4.2K,106K,"2,100",2%,500K,75.8M,-893K,-1.20%
20-May,2.4K,-354,-12.90%,4.8K,103K,"-17,200",-14.30%,377K,76.7M,-9.72M,-11.30%
20-Apr,2.8K,719,35.40%,5.6K,121K,"30,655",34.10%,570K,86.4M,+19.6M,29.30%
20-Mar,2.0K,400,24.50%,4.7K,90.0K,"18,359",25.60%,829K,66.8M,+17.1M,34.30%
20-Feb,1.6K,-4,-0.20%,3.2K,71.6K,"26,105",57.30%,615K,49.8M,+15.9M,46.90%
20-Jan,1.6K,321,24.40%,3.4K,45.5K,"-8,848",-16.30%,257K,33.9M,-6.50M,-16.10%
19-Dec,1.3K,78,6.30%,2.7K,54.4K,"4,869",9.80%,344K,40.4M,+5.87M,17%
19-Nov,1.2K,-18,-1.40%,2.5K,49.5K,"-10,847",-18%,299K,34.5M,-8.75M,-20.20%
19-Oct,1.3K,-14,-1.10%,2.6K,60.4K,"-3,448",-5.40%,382K,43.2M,-2.68M,-5.80%
19-Sep,1.3K,-40,-3.10%,2.4K,63.8K,"1,782",2.90%,660K,45.9M,-215K,-0.50%
19-Aug,1.3K,82,6.70%,2.3K,62.0K,"7,283",13.30%,518K,46.1M,+5.43M,13.30%
19-Jul,1.2K,58,5%,2.2K,54.7K,"12,789",30.50%,434K,40.7M,+10.5M,34.80%
19-Jun,1.2K,14,1.20%,2.1K,41.9K,"2,003",5%,350K,30.2M,+503K,1.70%
19-May,1.2K,-18,-1.50%,2.3K,39.9K,"-2,804",-6.60%,233K,29.7M,-1.08M,-3.50%
19-Apr,1.2K,-55,-4.50%,2.3K,42.7K,"-4,967",-10.40%,311K,30.8M,-4.70M,-13.30%
19-Mar,1.2K,120,10.80%,2.5K,47.7K,"-22,767",-32.30%,832K,35.5M,-11.9M,-25.10%
19-Feb,1.1K,-304,-21.50%,2.6K,70.5K,"29,152",70.50%,515K,47.4M,+16.6M,54%
19-Jan,1.4K,239,20.40%,2.9K,41.3K,"6,994",20.40%,195K,30.7M,+5.20M,20.40%
18-Dec,1.2K,163,16.10%,3.2K,34.3K,"-3,349",-8.90%,273K,25.5M,-1.59M,-5.90%
18-Nov,1.0K,44,4.60%,2.0K,37.7K,"5,213",16.10%,298K,27.1M,+3.03M,12.60%
18-Oct,967,-10,-1%,1.9K,32.5K,"-65,796",-67%,220K,24.1M,-46.6M,-65.90%
18-Sep,977,-45,-4.40%,1.9K,98.3K,"69,138",237%,867K,70.7M,+49.0M,226%
18-Aug,1.0K,88,9.40%,1.9K,29.1K,"-6,891",-19.10%,187K,21.7M,-4.86M,-18.30%
18-Jul,934,100,12%,1.7K,36.0K,"5,575",18.30%,237K,26.5M,+4.60M,21%
18-Jun,834,11,1.30%,1.6K,30.4K,"-5,078",-14.30%,279K,21.9M,-4.50M,-17%
18-May,823,-97,-10.50%,1.6K,35.5K,"3,605",11.30%,225K,26.4M,+3.48M,15.20%
18-Apr,920,-142,-13.40%,1.9K,31.9K,"-5,855",-15.50%,335K,22.9M,-5.17M,-18.40%
18-Mar,1.1K,-96,-8.30%,2.3K,37.8K,"-17,761",-32%,504K,28.1M,-9.12M,-24.50%
18-Feb,1.2K,104,9.90%,2.3K,55.5K,"-37,942",-40.60%,373K,37.2M,-32.3M,-46.50%
18-Jan,1.1K,177,20.20%,2.0K,93.5K,"68,298",271%,1.30M,69.5M,+50.8M,272%
17-Dec,877,79,9.90%,1.7K,25.2K,"-10,653",-29.70%,229K,18.7M,-7.05M,-27.40%
17-Nov,798,1,0.10%,1.6K,35.8K,"-2,372",-6.20%,281K,25.8M,-2.63M,-9.30%
17-Oct,797,23,3%,1.6K,38.2K,294,0.80%,575K,28.4M,+1.12M,4.10%
17-Sep,774,-90,-10.40%,1.5K,37.9K,"10,750",39.60%,288K,27.3M,+7.12M,35.30%
17-Aug,864,24,2.90%,1.6K,27.2K,"-64,282",-70.30%,207K,20.2M,-47.6M,-70.30%
17-Jul,840,52,6.60%,1.6K,91.4K,"61,128",202%,947K,67.8M,+46.0M,211%
17-Jun,788,-45,-5.40%,1.5K,30.3K,"-1,478",-4.60%,275K,21.8M,-1.35M,-5.80%
17-May,833,-43,-4.90%,1.7K,31.8K,"-19,046",-37.50%,195K,23.1M,-13.3M,-36.40%
17-Apr,876,-68,-7.20%,1.8K,50.8K,"1,263",2.50%,417K,36.4M,-438K,-1.20%
17-Mar,944,-65,-6.40%,2.1K,49.6K,"-10,568",-17.60%,507K,36.8M,-3.54M,-8.80%
17-Feb,1.0K,72,7.70%,2.1K,60.1K,"-37,216",-38.20%,461K,40.4M,-31.7M,-44%
17-Jan,937,137,17.10%,2.2K,97.4K,"56,267",137%,1.15M,72.1M,+41.6M,137%
16-Dec,800,-,-,1.7K,41.1K,-,-,237K,30.5M,-,-
