Month,Average_Stream,Gain_Stream,% Gain_Stream,Peak_Stream,Average_Views,Gain_Views,% Gain_Views,Peak_Views,Value,Gain_Hours,% Gain_Hours
20-Oct,1500.00,54,3.80%,2800.00,77500.00,"3,168",4.30%,439000.00,"42,800,000",-10.7M,-20%
20-Sep,1400.00,-9,-0.60%,2600.00,74400.00,"9,608",14.80%,311000.00,"53,500,000",+5.36M,11.10%
20-Aug,1400.00,-159,-9.90%,2500.00,64800.00,"8,333",14.80%,324000.00,"48,100,000",+6.21M,14.80%
20-Jul,1600.00,-351,-18%,3100.00,56400.00,"-49,119",-46.50%,198000.00,"41,900,000",-33.8M,-44.70%
20-Jun,1900.00,-449,-18.70%,4200.00,106000.00,"2,100",2%,500000.00,"75,800,000",-893K,-1.20%
20-May,2400.00,-354,-12.90%,4800.00,103000.00,"-17,200",-14.30%,377000.00,"76,700,000",-9.72M,-11.30%
20-Apr,2800.00,719,35.40%,5600.00,121000.00,"30,655",34.10%,570000.00,"86,400,000",+19.6M,29.30%
20-Mar,2000.00,400,24.50%,4700.00,90000.00,"18,359",25.60%,829000.00,"66,800,000",+17.1M,34.30%
20-Feb,1600.00,-4,-0.20%,3200.00,71600.00,"26,105",57.30%,615000.00,"49,800,000",+15.9M,46.90%
20-Jan,1600.00,321,24.40%,3400.00,45500.00,"-8,848",-16.30%,257000.00,"33,900,000",-6.50M,-16.10%
19-Dec,1300.00,78,6.30%,2700.00,54400.00,"4,869",9.80%,344000.00,"40,400,000",+5.87M,17%
19-Nov,1200.00,-18,-1.40%,2500.00,49500.00,"-10,847",-18%,299000.00,"34,500,000",-8.75M,-20.20%
19-Oct,1300.00,-14,-1.10%,2600.00,60400.00,"-3,448",-5.40%,382000.00,"43,200,000",-2.68M,-5.80%
19-Sep,1300.00,-40,-3.10%,2400.00,63800.00,"1,782",2.90%,660000.00,"45,000,000",-215K,-0.50%
19-Aug,1300.00,82,6.70%,2300.00,62000.00,"7,283",13.30%,518000.00,"46,100,000",+5.43M,13.30%
19-Jul,1200.00,58,5%,2200.00,54700.00,"12,789",30.50%,434000.00,"40,700,000",+10.5M,34.80%
19-Jun,1200.00,14,1.20%,2100.00,41900.00,"2,003",5%,350000.00,"30,200,000",+503K,1.70%
19-May,1200.00,-18,-1.50%,2300.00,39900.00,"-2,804",-6.60%,233000.00,"29,700,000",-1.08M,-3.50%
19-Apr,1200.00,-55,-4.50%,2300.00,42700.00,"-4,967",-10.40%,311000.00,"30,800,000",-4.70M,-13.30%
19-Mar,1200.00,120,10.80%,2500.00,47700.00,"-22,767",-32.30%,832000.00,"35,500,000",-11.9M,-25.10%
19-Feb,1100.00,-304,-21.50%,2600.00,70500.00,"29,152",70.50%,515000.00,"47,400,000",+16.6M,54%
19-Jan,1400.00,239,20.40%,2900.00,41100.00,"6,994",20.40%,195000.00,"30,700,000",+5.20M,20.40%
18-Dec,1200.00,163,16.10%,3200.00,34300.00,"-3,349",-8.90%,273000.00,"25,500,000",-1.59M,-5.90%
18-Nov,1000.00,44,4.60%,2000.00,37300.00,"5,213",16.10%,298000.00,"27,100,000",+3.03M,12.60%
18-Oct,967.00,-10,-1%,1900.00,32500.00,"-65,796",-67%,220000.00,"24,100,000",-46.6M,-65.90%
18-Sep,977.00,-45,-4.40%,1900.00,98300.00,"69,138",237%,867000.00,"70,700,000",+49.0M,226%
18-Aug,1000.00,88,9.40%,1900.00,29100.00,"-6,891",-19.10%,187000.00,"21,700,000",-4.86M,-18.30%
18-Jul,934.00,100,12%,1700.00,36000.00,"5,575",18.30%,237000.00,"26,500,000",+4.60M,21%
18-Jun,834.00,11,1.30%,1600.00,30400.00,"-5,078",-14.30%,279000.00,"21,900,900",-4.50M,-17%
18-May,823.00,-97,-10.50%,1600.00,35500.00,"3,605",11.30%,225000.00,"26,400,000",+3.48M,15.20%
18-Apr,920.00,-142,-13.40%,1900.00,31900.00,"-5,855",-15.50%,335000.00,"22,900,000",-5.17M,-18.40%
18-Mar,1100.00,-96,-8.30%,2300.00,37800.00,"-17,761",-32%,504000.00,"28,100,000",-9.12M,-24.50%
18-Feb,1200.00,104,9.90%,2300.00,55500.00,"-37,942",-40.60%,373000.00,"37,200,000",-32.3M,-46.50%
18-Jan,1100.00,177,20.20%,2000.00,93500.00,"68,298",271%,1300000.00,"69,500,000",+50.8M,272%
17-Dec,877.00,79,9.90%,1700.00,25200.00,"-10,653",-29.70%,229000.00,"18,700,000",-7.05M,-27.40%
17-Nov,798.00,1,0.10%,1600.00,35800.00,"-2,372",-6.20%,281000.00,"25,800,000",-2.63M,-9.30%
17-Oct,797.00,23,3%,1600.00,38200.00,294,0.80%,575000.00,"28,400,000",+1.12M,4.10%
17-Sep,774.00,-90,-10.40%,1500.00,37900.00,"10,750",39.60%,288000.00,"27,300,000",+7.12M,35.30%
17-Aug,864.00,24,2.90%,1600.00,27200.00,"-64,282",-70.30%,207000.00,"20,200,000",-47.6M,-70.30%
17-Jul,840.00,52,6.60%,1600.00,91400.00,"61,128",202%,947000.00,"67,800,000",+46.0M,211%
17-Jun,788.00,-45,-5.40%,1500.00,30300.00,"-1,478",-4.60%,275000.00,"21,800,000",-1.35M,-5.80%
17-May,833.00,-43,-4.90%,1700.00,31800.00,"-19,046",-37.50%,195000.00,"23,100,000",-13.3M,-36.40%
17-Apr,876.00,-68,-7.20%,1800.00,50800.00,"1,263",2.50%,417000.00,"36,400,000",-438K,-1.20%
