Month,Average_Stream,Gain_Stream,% Gain_Stream,Peak_Stream,Average_Views,Gain_Views,% Gain_Views,Peak_Views,Value,Gain_Hours,% Gain_Hours
20-Oct,7.7K,"-1,048",-12%,14600.00,111000.00,3470.00,3.20%,355000.00,64.9M,-12.8M,-16.50%
20-Sep,8.7K,"-1,999",-18.70%,17200.00,108000.00,-24884.00,-18.70%,271000.00,77.7M,-21.1M,-21.30%
20-Aug,10.7K,"-1,258",-10.50%,21900.00,133000.00,-8834.00,-6.20%,499000.00,98.8M,-6.52M,-6.20%
20-Jul,12.0K,"-1,487",-11.10%,21100.00,142000.00,-13479.00,-8.70%,327000.00,105M,-6.15M,-5.50%
20-Jun,13.4K,-322,-2.30%,118000.00,155000.00,-9969.00,-6%,2280000.00,111M,-11.0M,-9%
20-May,13.8K,"3,484",33.90%,40200.00,165000.00,29538.00,21.80%,625000.00,122M,+25.3M,26.10%
20-Apr,10.3K,"3,895",61%,58400.00,136000.00,46532.00,52.20%,1270000.00,97.1M,+30.9M,46.80%
20-Mar,6.4K,670,11.70%,13000.00,89100.00,9427.00,11.80%,289000.00,66.2M,+10.8M,19.60%
20-Feb,5.7K,-197,-3.30%,11900.00,79700.00,7336.00,10.10%,276000.00,55.3M,+1.52M,2.80%
20-Jan,5.9K,727,14%,11300.00,72300.00,-14026.00,-16.20%,619000.00,53.8M,-10.3M,-16.10%
19-Dec,5.2K,281,5.70%,35600.00,86400.00,4900.00,6%,943000.00,64.1M,+7.55M,13.30%
19-Nov,4.9K,-390,-7.40%,10300.00,81500.00,-24536.00,-23.10%,414000.00,56.6M,-18.7M,-24.80%
19-Oct,5.3K,406,8.30%,43200.00,106000.00,22077.00,26.30%,1690000.00,75.3M,+14.9M,24.60%
19-Sep,4.9K,"-2,417",-33.10%,9600.00,83900.00,-35687.00,-29.80%,335000.00,60.4M,-28.6M,-32.10%
19-Aug,7.3K,-362,-4.70%,14900.00,120000.00,-2092.00,-1.70%,335000.00,89.0M,-1.52M,-1.70%
19-Jul,7.7K,-378,-4.70%,47300.00,122000.00,-7133.00,-5.50%,1290000.00,90.5M,-2.25M,-2.40%
19-Jun,8.0K,"-1,091",-11.90%,15400.00,129000.00,-15171.00,-10.50%,494000.00,92.8M,-14.3M,-13.40%
19-May,9.1K,"-1,325",-12.70%,55400.00,144000.00,4582.00,3.30%,342000.00,107M,+6.69M,6.70%
19-Apr,10.5K,-796,-7.10%,22000.00,139000.00,3197.00,2.30%,474000.00,100M,-897K,-0.90%
19-Mar,11.3K,494,4.60%,23500.00,136000.00,11243.00,9%,429000.00,101M,+17.3M,20.60%
19-Feb,10.8K,"-2,950",-21.50%,66600.00,125000.00,-45151.00,-26.50%,682000.00,84.0M,-42.6M,-33.60%
19-Jan,13.7K,"1,612",13.30%,56800.00,170000.00,11661.00,7.40%,762000.00,127M,+8.68M,7.40%
18-Dec,12.1K,"2,671",28.30%,22500.00,158000.00,5579.00,3.60%,419000.00,118M,+7.82M,7.10%
18-Nov,9.4K,508,5.70%,37000.00,153000.00,2278.00,1.50%,1060000.00,110M,-1.73M,-1.50%
18-Oct,8.9K,"-1,361",-13.20%,21200.00,151000.00,3136.00,2.10%,582000.00,112M,+5.69M,5.40%
18-Sep,10.3K,-696,-6.30%,20100.00,147000.00,-29406.00,-16.60%,729000.00,106M,-25.3M,-19.30%
18-Aug,11.0K,83,0.80%,17400.00,177000.00,-28371.00,-13.80%,698000.00,131M,-19.3M,-12.80%
18-Jul,10.9K,"1,458",15.40%,19500.00,205000.00,28969.00,16.40%,835000.00,151M,+23.8M,18.80%
18-Jun,9.4K,-837,-8.10%,23800.00,176000.00,-17990.00,-9.30%,1500500.00,127M,-17.6M,-12.20%
18-May,10.3K,110,1.10%,18200.00,194000.00,15545.00,8.70%,581000.00,144M,+16.1M,12.50%
18-Apr,10.2K,"2,017",24.70%,18200.00,179000.00,19375.00,12.20%,687000.00,128M,+9.84M,8.30%
18-Mar,8.2K,"3,024",59%,17200.00,159000.00,61757.00,63.30%,840000.00,119M,+53.2M,81.30%
18-Feb,5.1K,"1,947",61.20%,10500.00,97600.00,35966.00,58.40%,264000.00,65.4M,+19.5M,42.60%
18-Jan,3.2K,"1,154",57%,6400.00,61600.00,17819.00,40.70%,194000.00,45.8M,+13.3M,40.70%
17-Dec,2.0K,649,47.20%,3900.00,43800.00,11314.00,34.80%,127000.00,32.6M,+9.21M,39.40%
17-Nov,1.4K,56,4.20%,2600.00,32500.00,10764.00,49.50%,154000.00,23.4M,-499K,-2.10%
17-Oct,1.3K,"1,028",352%,1300.00,217000.00,15218.00,233%,79200.00,23.9M,+16.8M,239%
17-Sep,292.00,98,50.50%,2100.00,6500.00,4669.00,252%,78400.00,7.04M,+4.97M,241%
17-Aug,194.00,-310,-61.50%,698.00,1900.00,-10275.00,-84.70%,14600.00,2.07M,-3.60M,-63.50%
17-Jul,504.00,-,-,1400.00,12100.00,-,-,76100.00,5.67M,-,-
