Month,Average_Stream,Gain_Stream,% Gain_Stream,Peak_Stream,Average_Views,Gain_Views,% Gain_Views,Peak_Views,Value,Gain_Hours,% Gain_Hours
19-Oct,5300.00,406,8.30%,43200.00,106000.00,"22,077",26.30%,1690000.00,75.3M,+14.9M,24.60%
19-Sep,4900.00,"-2,417",-33.10%,9600.00,83900.00,"-35,687",-29.80%,335000.00,60.4M,-28.6M,-32.10%
19-Aug,7300.00,-362,-4.70%,14900.00,120000.00,"-2,092",-1.70%,335000.00,89.0M,-1.52M,-1.70%
19-Jul,7700.00,-378,-4.70%,47300.00,122000.00,"-7,133",-5.50%,1290000.00,90.5M,-2.25M,-2.40%
19-Jun,8000.00,"-1,091",-11.90%,15400.00,129000.00,"-15,171",-10.50%,494000.00,92.8M,-14.3M,-13.40%
19-May,9100.00,"-1,325",-12.70%,55400.00,144000.00,"4,582",3.30%,642000.00,107M,+6.69M,6.70%
19-Apr,10500.00,-796,-7.10%,22000.00,139000.00,"3,197",2.30%,474000.00,100M,-897K,-0.90%
19-Mar,11300.00,494,4.60%,23500.00,136000.00,"11,243",9%,429000.00,101M,+17.3M,20.60%
19-Feb,10800.00,"-2,950",-21.50%,66600.00,125000.00,"-45,151",-26.50%,682000.00,84.0M,-42.6M,-33.60%
19-Jan,13700.00,"1,612",13.30%,56800.00,170000.00,"11,661",7.40%,762000.00,127M,+8.68M,7.40%
18-Dec,12100.00,"2,671",28.30%,22500.00,158000.00,"5,579",3.60%,419000.00,118M,+7.82M,7.10%
18-Nov,9400.00,508,5.70%,37000.00,153000.00,"2,278",1.50%,1060000.00,110M,-1.73M,-1.50%
18-Oct,8900.00,"-1,361",-13.20%,21200.00,151000.00,"3,136",2.10%,582000.00,112M,+5.69M,5.40%
18-Sep,10300.00,-696,-6.30%,20100.00,147000.00,"-29,406",-16.60%,729000.00,106M,-25.3M,-19.30%
18-Aug,11000.00,83,0.80%,17400.00,177000.00,"-28,371",-13.80%,698000.00,131M,-19.3M,-12.80%
18-Jul,10900.00,"1,458",15.40%,19500.00,205000.00,"28,969",16.40%,835000.00,151M,+23.8M,18.80%
18-Jun,9400.00,-837,-8.10%,23800.00,176000.00,"-17,990",-9.30%,1500000.00,127M,-17.6M,-12.20%
18-May,10300.00,110,1.10%,18100.00,194000.00,"15,545",8.70%,581000.00,144M,+16.1M,12.50%
18-Apr,10200.00,"2,017",24.70%,18200.00,179000.00,"19,375",12.20%,687000.00,128M,+9.84M,8.30%
18-Mar,8200.00,"3,024",59%,17200.00,159000.00,"61,757",63.30%,840000.00,119M,+53.2M,81.30%
18-Feb,5100.00,"1,947",61.20%,10500.00,97600.00,"35,966",58.40%,264000.00,65.4M,+19.5M,42.60%
18-Jan,3200.00,"1,154",57%,6400.00,61600.00,"17,819",40.70%,194000.00,45.8M,+13.3M,40.70%
17-Dec,2000.00,649,47.20%,3900.00,43800.00,"11,314",34.80%,127000.00,32.6M,+9.21M,39.40%
17-Nov,1400.00,56,4.20%,2600.00,32500.00,"10,764",49.50%,154000.00,23.4M,-499K,-2.10%
17-Oct,1300.00,"1,028",352%,2300.00,21700.00,"15,218",233%,79200.00,23.9M,+16.8M,239%
17-Sep,292.00,98,50.50%,2100.00,6500.00,"4,669",252%,78400.00,7.04M,+4.97M,241%
17-Aug,194.00,-310,-61.50%,698.00,1900.00,"-10,275",-84.70%,14600.00,2.07M,-3.60M,-63.50%
17-Jul,504.00,-,-,1300.00,12100.00,-,-,76100.00,5.67M,-,-
