Month,Average_Stream,Gain_Stream,% Gain_Stream,Peak_Stream,Average_Views,Gain_Views,% Gain_Views,Peak_Views,Value,Gain_Hours,% Gain_Hours
20-Oct,4500.00,58,1.30%,8500.00,226000.00,"38,062",20.30%,1420000.00,125M,-10.4M,-7.70%
20-Sep,4400.00,40,0.90%,6800.00,187000.00,"-4,196",-2.20%,795000.00,135M,-7.58M,-5.30%
20-Aug,4400.00,-5,-0.10%,7500.00,192000.00,"9,710",5.30%,730000.00,142M,+7.25M,5.40%
20-Jul,4400.00,213,5.10%,7300.00,182000.00,"-16,987",-8.50%,505000.00,135M,-7.69M,-5.40%
20-Jun,4200.00,-566,-12%,7500.00,199000.00,"27,389",16%,561000.00,143M,+15.7M,12.40%
20-May,4700.00,-78,-1.60%,8300.00,172000.00,"-17,221",-9.10%,507000.00,127M,-8.03M,-5.90%
20-Apr,4800.00,686,16.70%,8800.00,189000.00,"22,589",13.60%,736000.00,135M,+11.8M,9.60%
20-Mar,4100.00,455,12.40%,8400.00,166000.00,"-8,626",-4.90%,430000.00,123M,+2.03M,1.70%
20-Feb,3700.00,-306,-7.70%,7300.00,175000.00,"40,802",30.40%,420000.00,121M,+21.7M,21.70%
20-Jan,4000.00,873,28.20%,8000.00,134000.00,"28,209",26.70%,348000.00,99.7M,+21.2M,27%
19-Dec,3100.00,140,4.70%,6400.00,106000.00,"-26,401",-20%,232000.00,78.5M,-13.3M,-14.40%
19-Nov,3000.00,-15,-0.50%,4500.00,132000.00,"-37,436",-22.10%,1740000.00,91.8M,-29.3M,-24.20%
19-Sep,2700.00,88,3.30%,4500.00,108000.00,"-7,966",-6.90%,654000.00,77.6M,-8.53M,-9.90%
19-Aug,2700.00,235,9.70%,5300.00,116000.00,"24,003",26.20%,463000.00,86.1M,+17.9M,26.20%
19-Jul,2400.00,-330,-12%,3400.00,91700.00,"-32,105",-25.90%,275000.00,68.2M,-20.9M,-23.50%
19-Jun,2800.00,-95,-3.30%,3900.00,124000.00,"-14,383",-10.40%,322000.00,89.1M,-13.6M,-13.30%
19-May,2800.00,101,3.70%,4100.00,138000.00,"9,795",7.60%,816000.00,103M,+10.3M,11.20%
19-Apr,2700.00,106,4%,4000.00,128000.00,"-17,402",-11.90%,548000.00,92.4M,-15.9M,-14.70%
19-Mar,2600.00,-4,-0.20%,4000.00,146000.00,"4,372",3.10%,378000.00,108M,+13.4M,14.10%
19-Feb,2600.00,-372,-12.30%,4500.00,141000.00,"8,271",6.20%,370000.00,95.0M,-4.03M,-4.10%
19-Jan,3000.00,652,27.60%,6100.00,133000.00,"36,312",37.50%,400000.00,99.1M,+27.0M,37.50%
18-Dec,2400.00,-4,-0.20%,3500.00,96800.00,"-20,466",-17.40%,344000.00,72.0M,-12.4M,-14.70%
18-Nov,2400.00,176,8%,5000.00,117000.00,"-29,350",-20%,1130000.00,84.5M,-24.4M,-22.40%
18-Sep,2100.00,117,5.90%,3100.00,106000.00,"-2,928",-2.70%,424000.00,76.5M,-4.75M,-5.80%
18-Aug,2000.00,144,7.80%,2800.00,109000.00,"7,204",7.10%,934000.00,81.2M,+6.29M,8.40%
18-Jul,1800.00,-3,-0.20%,2800.00,102000.00,"1,433",1.40%,232000.00,74.9M,+2.50M,3.50%
18-Jun,1800.00,-96,-5%,3300.00,101000.00,"-9,648",-8.70%,244000.00,72.4M,-9.57M,-11.70%
18-May,1900.00,-90,-4.40%,2800.00,110000.00,"7,111",6.90%,511000.00,82.0M,+7.89M,10.60%
18-Apr,2000.00,-108,-5.10%,3900.00,103000.00,"-16,189",-13.60%,486000.00,74.1M,-14.7M,-16.50%
18-Mar,2100.00,-192,-8.20%,3200.00,119000.00,"-1,368",-1.10%,364000.00,88.8M,+7.83M,9.70%
18-Feb,2300.00,-57,-2.40%,3500.00,121000.00,"1,079",0.90%,305000.00,81.0M,-8.03M,-9%
18-Jan,2400.00,497,26.30%,4800.00,120000.00,"26,117",27.90%,440000.00,89.0M,+19.4M,28%
17-Dec,1900.00,22,1.20%,3200.00,93500.00,"-21,646",-18.80%,325000.00,69.6M,-13.3M,-16%
17-Nov,1900.00,90,5.10%,2900.00,115000.00,"-12,000",-9.40%,1090000.00,82.8M,-11.8M,-12.40%
17-Oct,1800.00,70,4.10%,2800.00,127000.00,"23,869",23.10%,886000.00,94.6M,+20.2M,27.20%
17-Sep,1700.00,12,0.70%,2600.00,103000.00,"6,556",6.80%,376000.00,74.4M,+2.53M,3.50%
17-Aug,1700.00,-54,-3.10%,2700.00,96700.00,0,-15%,350000.00,71.8M,-12.7M,-15.10%
17-Jul,1700.00,151,9.40%,2500.00,114000.00,"-3,762",-3.20%,326000.00,84.6M,277,-
17-Jun,1600.00,-62,-3.70%,2400.00,118000.00,-824,-0.70%,281000.00,84.6M,-2.02M,-2.30%
17-May,1700.00,22,1.30%,2500.00,118000.00,"3,203",2.80%,648000.00,86.6M,+4.13M,5%
17-Apr,1600.00,40,2.50%,2500.00,115000.00,"-6,890",-5.60%,488000.00,82.5M,-8.31M,-9.20%
17-Mar,1600.00,-201,-11.20%,2500.00,122000.00,"-25,783",-17.40%,326000.00,90.8M,-8.53M,-8.60%
17-Feb,1800.00,-40,-2.20%,2800.00,148000.00,"14,149",10.60%,391000.00,99.3M,+208K,0.20%
17-Jan,1800.00,169,10.10%,2900.00,134000.00,"24,336",22.30%,378000.00,99.1M,+18.1M,22.30%
16-Dec,1700.00,-,-,2500.00,109000.00,-,-,334000.00,81.0M,-,-
