Channel,Average viewers,Followers,Game ID,Game Name
Tfue,29602,8938903,512710,Call Of Duty: Modern Warfare
shroud,29612,7744066,516575,VALORANT
Myth,9396,6726893,509658,Just Chatting
pokimane,16026,5367605,509658,Just Chatting
summit1g,25610,5310163,516575,VALORANT
TimTheTatman,25664,5265659,509658,Just Chatting
dakotaz,7112,4520305,510218,Among Us
Riot Games (riotgames),20960,4487489,21779,League of Legends
DrDisrespect,23794,4450718,512710,Call Of Duty: Modern Warfare
DrLupo,8311,4115083,18122,World of Warcraft
NICKMERCS,24181,4074287,512710,Call Of Duty: Modern Warfare
ESL_CSGO,7714,3944850,32399,Counter-Strike: Global Offensive
SypherPK,6553,3611359,0,NA
Fortnite,28584,3558217,33214,Fortnite
loltyler1,22381,3530767,21779,League of Legends
xQcOW,27716,3246298,27471,Minecraft
Fresh,9728,3135667,33214,Fortnite
Syndicate,4281,3000509,509658,Just Chatting
Mongraal,18180,2951980,33214,Fortnite
Bugha,12982,2942212,33214,Fortnite
sodapoppin,19659,2786162,498744,SCP: Secret Laboratory
LIRIK,21739,2666382,509658,Just Chatting
imaqtpie,3478,2652018,498744,SCP: Secret Laboratory
Nightblue3,7234,2641880,21779,League of Legends
Anomaly,12377,2607076,32399,Counter-Strike: Global Offensive
Castro_1021,17779,2411995,518204,FIFA 21
Symfuhny,7327,2355063,512710,Call Of Duty: Modern Warfare
cloakzy,6743,2138294,512710,Call Of Duty: Modern Warfare
TSM_Hamlinz,15483,2137521,459931,Old School RuneScape
CouRageJD,8717,2115596,512710,Call Of Duty: Modern Warfare
Clix,12996,2035180,518184,Phasmophobia
CDNThe3rd,4919,2009972,12839,Heroes of Might and Magic III: The Restoration of Erathia
Yassuo,10531,1878416,510218,Among Us
Loserfruit,1816,1869993,506342,HITMAN 2
Cizzorz,1891,1866339,510218,Among Us
DreamHackCS,5001,1801697,32399,Counter-Strike: Global Offensive
OverwatchLeague,33132,1796619,488552,Overwatch
Gosu,3502,1751290,21779,League of Legends
JoshOG,2957,1748928,459931,Old School RuneScape
benjyfishy,14423,1739112,33214,Fortnite
GamesDoneQuick,6734,1724316,313178,Disgaea 5: Alliance of Vengeance
boxbox,2717,1717150,513143,Teamfight Tactics
Amouranth,2560,1707804,509659,ASMR
Aydan,3507,1701314,512710,Call Of Duty: Modern Warfare
s1mple,12723,1681884,510218,Among Us
FACEIT TV (faceittv),9722,1681615,32399,Counter-Strike: Global Offensive
HighDistortion,1397,1677690,12839,Heroes of Might and Magic III: The Restoration of Erathia
NickEh30,9702,1660204,510218,Among Us
sneakylol,6775,1659108,21779,League of Legends
MrSavage,6883,1651212,33214,Fortnite
