0,Game Name
1,Among Us
2,Just Chatting
3,Call Of Duty: Modern Warfare
4,League of Legends
5,Minecraft
6,Fortnite
7,Grand Theft Auto V
8,VALORANT
9,Phasmophobia
10,Garena Free Fire
11,World of Warcraft
12,Rocket League
13,Apex Legends
14,FIFA 21
15,Counter-Strike: Global Offensive
16,Music
17,Dota 2
18,Dead by Daylight
19,Overwatch
20,Amnesia: Rebirth
21,Escape From Tarkov
22,Hearthstone
23,The Elder Scrolls Online
24,PLAYERUNKNOWN'S BATTLEGROUNDS
25,Genshin Impact
26,NBA 2K21
27,Teamfight Tactics
28,Tom Clancy's Rainbow Six: Siege
29,Slots
30,Art
31,Old School RuneScape
32,Tabletop RPGs
33,Jackbox Party Packs
34,Path of Exile
35,Hades
36,The Simpsons: Hit & Run
37,Bug Fables
38,Madden NFL 21
39,Fall Guys: Ultimate Knockout
40,Destiny 2
41,Rogue Company
42,ASMR
43,Unfortunate Spacemen
44,StarCraft II
45,We Were Here Together
46,SMITE
47,Super Smash Bros. Ultimate
48,Tibia
49,Dungeons & Dragons
50,Poker
