Month,Average,Gain,% Gain,Peak
Oct-20,7.6K,"-1,134",-13.00%,14.6K
1-Sep,8.7K,"-1,999",-18.70%,17.2K
1-Aug,10.7K,"-1,258",-10.50%,21.9K
1-Jul,12.0K,"-1,487",-11.10%,21.1K
1-Jun,13.4K,-322,-2%,118K
1-May,13.8K,"3,484",33.90%,40.2K
1-Apr,10.3K,"3,895",61.00%,58.4K
1-Mar,6.4K,670,11.70%,13.0K
1-Feb,5.7K,-197,-3.30%,11.9K
1-Jan,5.9K,727,14.00%,11.3K
1-Dec,5.2K,281,6%,35.6K
1-Nov,4.9K,-390,-7.40%,10.3K
Oct-19,5.3K,406,8.30%,43.2K
Sep-19,4.9K,"-2,417",-33.10%,9.6K
Aug-19,7.3K,-362,-4.70%,14.9K
Jul-19,7.7K,-378,-4.70%,47.3K
Jun-19,8.0K,"-1,091",-11.90%,15.4K
May-19,9.1K,"-1,325",-12.70%,55.4K
Apr-19,10.5K,-796,-7.10%,22.0K
Mar-19,11.3K,494,4.60%,23.5K
Feb-19,10.8K,"-2,950",-21.50%,66.6K
Jan-19,13.7K,"1,612",13.30%,56.8K
Dec-18,12.1K,"2,671",28.30%,22.5K
Nov-18,9.4K,508,5.70%,37.0K
Oct-18,8.9K,"-1,361",-13.20%,21.2K
Sep-18,10.3K,-696,-6.30%,20.1K
Aug-18,11.0K,83,0.80%,17.4K
Jul-18,10.9K,"1,458",15.40%,19.5K
Jun-18,9.4K,-837,-8.10%,23.8K
May-18,10.3K,110,1.10%,18.1K
Apr-18,10.2K,"2,017",24.70%,18.2K
Mar-18,8.2K,"3,024",59%,17.2K
Feb-18,5.1K,"1,947",61.20%,10.5K
Jan-18,3.2K,"1,154",57%,6.4K
Dec-17,2.0K,649,47.20%,3.9K
Nov-17,1.4K,56,4.20%,2.6K
Oct-17,1.3K,"1,028",352%,2.3K
Sep-17,292,98,50.50%,2.1K
Aug-17,194,-310,-61.50%,698
Jul-17,504,-,-,1.3K
