Month,Average,Gain,% Gain,Peak
Oct-20,111K,"3,470",3.20%,355K
Sep-20,108K,"-24,884",-18.70%,271K
Aug-20,133K,"-8,834",-6.20%,499K
Jul-20,142K,"-13,479",-8.70%,327K
Jun-20,155K,"-9,969",-6%,2.28M
May-20,165K,"29,538",21.80%,625K
Apr-20,136K,"46,532",52.20%,1.27M
Mar-20,89.1K,"9,427",11.80%,289K
Feb-20,79.7K,"7,336",10.10%,276K
Jan-20,72.3K,"-14,026",-16.20%,619K
Dec-19,86.4K,"4,900",6%,943K
Nov-19,81.5K,"-24,536",-23.10%,414K
Oct-19,106K,"22,077",26.30%,1.69M
Sep-19,83.9K,"-35,687",-29.80%,335K
Aug-19,120K,"-2,092",-1.70%,335K
Jul-19,122K,"-7,133",-5.50%,1.29M
Jun-19,129K,"-15,171",-10.50%,494K
May-19,144K,"4,582",3.30%,642K
Apr-19,139K,"3,197",2.30%,474K
Mar-19,136K,"11,243",9%,429K
Feb-19,125K,"-45,151",-26.50%,682K
Jan-19,170K,"11,661",7.40%,762K
Dec-18,158K,"5,579",3.60%,419K
Nov-18,153K,"2,278",1.50%,1.06M
Oct-18,151K,"3,136",2.10%,582K
Sep-18,147K,"-29,406",-16.60%,729K
Aug-18,177K,"-28,371",-13.80%,698K
Jul-18,205K,"28,969",16.40%,835K
Jun-18,176K,"-17,990",-9.30%,1.50M
May-18,194K,"15,545",8.70%,581K
Apr-18,179K,"19,375",12.20%,687K
Mar-18,159K,"61,757",63.30%,840K
Feb-18,97.6K,"35,966",58.40%,264K
Jan-18,61.6K,"17,819",40.70%,194K
Dec-17,43.8K,"11,314",34.80%,127K
Nov-17,32.5K,"10,764",49.50%,154K
Oct-17,21.7K,"15,218",233%,79.2K
Sep-17,6.5K,"4,669",252%,78.4K
Aug-17,1.9K,"-10,275",-84.70%,14.6K
Jul-17,12.1K,-,-,76.1K
