Month,Average,Gain,% Gain,Peak
Oct-20,151K,"-53,045",-26%,754K
Sep-20,204K,"162,989",396%,743K
Aug-20,41.1K,"35,502",629%,267K
Jul-20,5.6K,"5,473",+3.2K%,88.3K
Jun-20,171,-280,-62.10%,7.0K
May-20,451,291,182%,27.5K
Apr-20,160,42,35.60%,3.8K
Mar-20,118,34,40.50%,16.7K
Feb-20,84,6,7.70%,2.4K
Jan-20,78,49,169%,2.8K
Dec-19,29,5,20.80%,1.2K
Nov-19,24,9,60%,2.1K
Oct-19,15,-32,-68.10%,523
Sep-19,47,-75,-61.50%,6.0K
Aug-19,122,90,281%,26.4K
Jul-19,32,23,256%,2.0K
Jun-19,9,8,800%,259
May-19,1,-2,-66.70%,11
Apr-19,3,2,200%,68
Mar-19,1,-,-,7
Feb-19,1,-307,-99.70%,3
Jan-19,308,242,367%,4.4K
Dec-18,66,"-1,487",-95.80%,455
Nov-18,1.6K,-,-,7.4K
