Month,Average,Gain,% Gain,Peak
Oct-20,77.5K,"3,168",4.30%,439K
Sep-20,74.4K,"9,608",14.80%,311K
Aug-20,64.8K,"8,333",14.80%,324K
Jul-20,56.4K,"-49,119",-46.50%,198K
Jun-20,106K,"2,100",2%,500K
May-20,103K,"-17,200",-14.30%,377K
Apr-20,121K,"30,655",34.10%,570K
Mar-20,90.0K,"18,359",25.60%,829K
Feb-20,71.6K,"26,105",57.30%,615K
Jan-20,45.5K,"-8,848",-16.30%,257K
Dec-19,54.4K,"4,869",9.80%,344K
Nov-19,49.5K,"-10,847",-18%,299K
Oct-19,60.4K,"-3,448",-5.40%,382K
Sep-19,63.8K,"1,782",2.90%,660K
Aug-19,62.0K,"7,283",13.30%,518K
Jul-19,54.7K,"12,789",30.50%,434K
Jun-19,41.9K,"2,003",5%,350K
May-19,39.9K,"-2,804",-6.60%,233K
Apr-19,42.7K,"-4,967",-10.40%,311K
Mar-19,47.7K,"-22,767",-32.30%,832K
Feb-19,70.5K,"29,152",70.50%,515K
Jan-19,41.3K,"6,994",20.40%,195K
Dec-18,34.3K,"-3,349",-8.90%,273K
Nov-18,37.7K,"5,213",16.10%,298K
Oct-18,32.5K,"-65,796",-67%,220K
Sep-18,98.3K,"69,138",237%,867K
Aug-18,29.1K,"-6,891",-19.10%,187K
Jul-18,36.0K,"5,575",18.30%,237K
Jun-18,30.4K,"-5,078",-14.30%,279K
May-18,35.5K,"3,605",11.30%,225K
Apr-18,31.9K,"-5,855",-15.50%,335K
Mar-18,37.8K,"-17,761",-32%,504K
Feb-18,55.5K,"-37,942",-40.60%,373K
Jan-18,93.5K,"68,298",271%,1.30M
Dec-17,25.2K,"-10,653",-29.70%,229K
Nov-17,35.8K,"-2,372",-6.20%,281K
Oct-17,38.2K,294,0.80%,575K
Sep-17,37.9K,"10,750",39.60%,288K
Aug-17,27.2K,"-64,282",-70.30%,207K
Jul-17,91.4K,"61,128",202%,947K
Jun-17,30.3K,"-1,478",-4.60%,275K
May-17,31.8K,"-19,046",-37.50%,195K
Apr-17,50.8K,"1,263",2.50%,417K
Mar-17,49.6K,"-10,568",-17.60%,507K
Feb-17,60.1K,"-37,216",-38.20%,461K
Jan-17,97.4K,"56,267",137%,1.15M
Dec-16,41.1K,-,-,237K
