Month,Value,Gain,% Gain
1-Oct,61.5M,-16.2M,-20.80%
1-Sep,77.7M,-21.1M,-21.30%
1-Aug,98.8M,-6.52M,-6.20%
1-Jul,105M,-6.15M,-5.50%
1-Jun,111M,-11.0M,-9%
1-May,122M,+25.3M,26.10%
1-Apr,97.1M,+30.9M,46.80%
1-Mar,66.2M,+10.8M,19.60%
1-Feb,55.3M,+1.52M,2.80%
1-Jan,53.8M,-10.3M,-16.10%
1-Dec,64.1M,+7.55M,13%
1-Nov,56.6M,-18.7M,-24.80%
Oct-19,75.3M,+14.9M,24.60%
Sep-19,60.4M,-28.6M,-32.10%
Aug-19,89.0M,-1.52M,-1.70%
Jul-19,90.5M,-2.25M,-2.40%
Jun-19,92.8M,-14.3M,-13.40%
May-19,107M,+6.69M,6.70%
Apr-19,100M,-897K,-0.90%
Mar-19,101M,+17.3M,20.60%
Feb-19,84.0M,-42.6M,-33.60%
Jan-19,127M,+8.68M,7.40%
Dec-18,118M,+7.82M,7.10%
Nov-18,110M,-1.73M,-1.50%
Oct-18,112M,+5.69M,5.40%
Sep-18,106M,-25.3M,-19.30%
Aug-18,131M,-19.3M,-12.80%
Jul-18,151M,+23.8M,18.80%
Jun-18,127M,-17.6M,-12.20%
May-18,144M,+16.1M,12.50%
Apr-18,128M,+9.84M,8.30%
Mar-18,119M,+53.2M,81.30%
Feb-18,65.4M,+19.5M,42.60%
Jan-18,45.8M,+13.3M,40.70%
Dec-17,32.6M,+9.21M,39.40%
Nov-17,23.4M,-499K,-2.10%
Oct-17,23.9M,+16.8M,239%
Sep-17,7.04M,+4.97M,241%
Aug-17,2.07M,-3.60M,-63.50%
Jul-17,5.67M,-,-
