Month,Average,Gain,% Gain,Peak
Oct-20,226K,"38,062",20.30%,1.42M
Sep-20,187K,"-4,196",-2.20%,795K
Aug-20,192K,"9,710",5.30%,730K
Jul-20,182K,"-16,987",-8.50%,505K
Jun-20,199K,"27,389",16%,561K
May-20,172K,"-17,221",-9.10%,507K
Apr-20,189K,"22,589",13.60%,736K
Mar-20,166K,"-8,626",-4.90%,430K
Feb-20,175K,"40,802",30.40%,402K
Jan-20,134K,"28,209",26.70%,348K
Dec-19,106K,"-26,401",-20%,232K
Nov-19,132K,"-37,436",-22.10%,1.74M
0/2019,170K,"61,921",57.50%,1.10M
Sep-19,108K,"-7,966",-6.90%,654K
Aug-19,116K,"24,003",26.20%,463K
Jul-19,91.7K,"-32,105",-25.90%,275K
Jun-19,124K,"-14,383",-10.40%,322K
May-19,138K,"9,795",7.60%,816K
Apr-19,128K,"-17,402",-11.90%,548K
Mar-19,146K,"4,372",3.10%,377K
Feb-19,141K,"8,271",6.20%,370K
Jan-19,133K,"36,312",37.50%,400K
Dec-18,96.8K,"-20,466",-17.40%,344K
Nov-18,117K,"-29,350",-20%,1.13M
0/2018,147K,"40,318",37.90%,923K
Sep-18,106K,"-2,928",-2.70%,424K
Aug-18,109K,"7,204",7.10%,934K
Jul-18,102K,"1,433",1.40%,232K
Jun-18,101K,"-9,648",-8.70%,244K
May-18,110K,"7,111",6.90%,511K
Apr-18,103K,"-16,189",-13.60%,486K
Mar-18,119K,"-1,368",-1.10%,364K
Feb-18,121K,"1,079",0.90%,305K
Jan-18,120K,"26,117",27.90%,440K
Dec-17,93.5K,"-21,646",-18.80%,325K
Nov-17,115K,"-12,000",-9.40%,1.09M
Oct-17,127K,"23,869",23.10%,886K
Sep-17,103K,"6,556",6.80%,376K
Aug-17,96.7K,"-17,043",-15%,350K
Jul-17,114K,"-3,762",-3.20%,326K
Jun-17,118K,-824,-0.70%,281K
May-17,118K,"3,203",2.80%,648K
Apr-17,115K,"-6,890",-5.60%,488K
Mar-17,122K,"-25,783",-17.40%,326K
Feb-17,148K,"14,149",10.60%,391K
Jan-17,134K,"24,336",22.30%,378K
Dec-16,109K,-,-,334K
