Month,Average,Gain,% Gain,Peak
20-Oct,3000.00,-450,-12.90%,9100
20-Sep,3500.00,"2,985",598%,12400
20-Aug,499.00,445,824%,3000
20-Jul,54.00,40,286%,221
20-Jun,14.00,1,7.70%,61
20-May,13.00,5,62.50%,42
20-Apr,8.00,3,60%,36
20-Mar,5.00,1,25%,22
20-Feb,4.00,2,100%,17
20-Jan,2.00,1,100%,11
19-Dec,1.00,-,-,5
19-Nov,1.00,-1,-50%,7
19-Oct,2.00,-,-,8
19-Sep,2.00,-1,-33.30%,12
19-Aug,3.00,1,50%,13
19-Jul,2.00,1,100%,11
19-Jun,1.00,-,-,4
19-May,1.00,-,-,3
19-Apr,1.00,-,-,3
19-Mar,1.00,-,-,3
19-Feb,1.00,-,-,1
19-Jan,1.00,-,-,2
18-Dec,1.00,-,-,1
18-Nov,1.00,-,-,3
