Month,Average,Gain,% Gain,Peak
20-Oct,151000.00,"-53,045",-26%,754000.00
20-Sep,204000.00,"162,989",396%,743000.00
20-Aug,41100.00,"35,502",629%,267000.00
20-Jul,5600.00,"5,473",+3.2K%,88300.00
20-Jun,171.00,-280,-62.10%,7000.00
20-May,451.00,291,182%,27500.00
20-Apr,160.00,42,35.60%,3800.00
20-Mar,118.00,34,40.50%,16700.00
20-Feb,84.00,6,7.70%,2400.00
20-Jan,78.00,49,169%,2800.00
19-Dec,29.00,5,20.80%,1200.00
19-Nov,24.00,9,60%,2100.00
19-Oct,15.00,-32,-68.10%,523.00
19-Sep,47.00,-75,-61.50%,6000.00
19-Aug,122.00,90,281%,26400.00
19-Jul,32.00,23,256%,2000.00
19-Jun,9.00,8,800%,259.00
19-May,1.00,-2,-66.70%,11.00
19-Apr,3.00,2,200%,68.00
19-Mar,1.00,-,-,7.00
19-Feb,1.00,-307,-99.70%,3.00
19-Jan,308.00,242,367%,4400.00
18-Dec,66.00,"-1,487",-95.80%,455.00
18-Nov,1600.00,-,-,7400.00
