Month,Average,Gain,% Gain,Peak
20-Oct,8700.00,-230,-2.60%,22100.00
20-Sep,8900.00,-189,-2.10%,17400.00
20-Aug,9100.00,377,4.30%,32000.00
20-Jul,8700.00,"1,170",15.50%,16600.00
20-Jun,7500.00,-345,-4.40%,13900.00
20-May,7900.00,181,2.40%,14800.00
20-Apr,7700.00,"1,947",33.90%,13200.00
20-Mar,5700.00,"4,364",316%,13900.00
20-Feb,1400.00,271,24.40%,3500.00
20-Jan,1100.00,-200,-15.30%,2500.00
19-Dec,1300.00,-661,-33.60%,2800.00
19-Nov,2000.00,928,89.10%,4800.00
19-Oct,1000.00,438,72.50%,13300.00
19-Sep,604.00,524,655%,7300.00
19-Aug,80.00,79,+7.9K%,1800.00
19-Jul,1.00,-,-,101.00
19-Jun,1.00,-2,-66.70%,6.00
19-May,3.00,-,-,78.00
