Month,Average,Gain,% Gain,Peak
20-Oct,102000.00,-462,-0.50%,403000.00
20-Sep,103000.00,"-10,619",-9.40%,364000.00
20-Aug,113000.00,"-4,921",-4.20%,947000.00
20-Jul,118000.00,"-2,347",-1.90%,359000.00
20-Jun,121000.00,"-2,486",-2%,403000.00
20-May,123000.00,"11,598",10.40%,354000.00
20-Apr,111000.00,"-18,165",-14%,396000.00
20-Mar,130000.00,"116,659",902%,521000.00
20-Feb,12900.00,804,6.60%,74800.00
20-Jan,12100.00,"-11,671",-49%,85700.00
19-Dec,23800.00,"-13,947",-36.90%,116000.00
19-Nov,37700.00,"6,617",21.30%,140000.00
19-Oct,31100.00,"14,208",84%,373000.00
19-Sep,16900.00,"12,688",300%,293000.00
19-Aug,4200.00,"3,501",478%,387000.00
19-Jul,733.00,727,+12.1K%,134000.00
19-Jun,6.00,-122,-95.30%,1100.00
19-May,128.00,-,-,7400.00
