Month,Average,Gain,% Gain,Peak
20-Oct,1500.00,54,3.80%,2800.00
20-Sep,1400.00,-9,-0.60%,2600.00
20-Aug,1400.00,-159,-9.90%,2500.00
20-Jul,1600.00,-351,-18%,3100.00
20-Jun,1900.00,-449,-18.70%,4200.00
20-May,2400.00,-354,-12.90%,4800.00
20-Apr,2800.00,719,35.40%,5600.00
20-Mar,2000.00,400,24.50%,4700.00
20-Feb,1600.00,-4,-0.20%,3200.00
20-Jan,1600.00,321,24.40%,3400.00
19-Dec,1300.00,78,6.30%,2700.00
19-Nov,1200.00,-18,-1.40%,2500.00
19-Oct,1300.00,-14,-1.10%,2600.00
19-Sep,1300.00,-40,-3.10%,2400.00
19-Aug,1300.00,82,6.70%,2300.00
19-Jul,1200.00,58,5%,2200.00
19-Jun,1200.00,14,1.20%,2100.00
19-May,1200.00,-18,-1.50%,2300.00
19-Apr,1200.00,-55,-4.50%,2300.00
19-Mar,1200.00,120,10.80%,2500.00
19-Feb,1100.00,-304,-21.50%,2600.00
19-Jan,1400.00,239,20.40%,2900.00
18-Dec,1200.00,163,16.10%,3200.00
18-Nov,1000.00,44,4.60%,2000.00
18-Oct,967.00,-10,-1%,1900.00
18-Sep,977.00,-45,-4.40%,1900.00
18-Aug,1000.00,88,9.40%,1900.00
18-Jul,934.00,100,12%,1700.00
18-Jun,834.00,11,1.30%,1600.00
18-May,823.00,-97,-10.50%,1600.00
18-Apr,920.00,-142,-13.40%,1900.00
18-Mar,1100.00,-96,-8.30%,2300.00
18-Feb,1200.00,104,9.90%,2300.00
18-Jan,1100.00,177,20.20%,2000.00
17-Dec,877.00,79,9.90%,1700.00
17-Nov,798.00,1,0.10%,1600.00
17-Oct,797.00,23,3%,1600.00
17-Sep,774.00,-90,-10.40%,1500.00
17-Aug,864.00,24,2.90%,1600.00
17-Jul,840.00,52,6.60%,1600.00
17-Jun,788.00,-45,-5.40%,1500.00
17-May,833.00,-43,-4.90%,1700.00
17-Apr,876.00,-68,-7.20%,1800.00
17-Mar,944.00,-65,-6.40%,2100.00
17-Feb,1000.00,72,7.70%,2100.00
17-Jan,937.00,137,17.10%,2200.00
16-Dec,800.00,-,-,1700.00
