Month,Average,Gain,% Gain,Peak
20-Oct,77500.00,"3,168",4.30%,439000.00
20-Sep,74400.00,"9,608",14.80%,311000.00
20-Aug,64800.00,"8,333",14.80%,324000.00
20-Jul,56400.00,"-49,119",-46.50%,198000.00
20-Jun,106000.00,"2,100",2%,500000.00
20-May,103000.00,"-17,200",-14.30%,377000.00
20-Apr,121000.00,"30,655",34.10%,570000.00
20-Mar,90000.00,"18,359",25.60%,829000.00
20-Feb,71600.00,"26,105",57.30%,615000.00
20-Jan,45500.00,"-8,848",-16.30%,257000.00
19-Dec,54400.00,"4,869",9.80%,344000.00
19-Nov,49500.00,"-10,847",-18%,299000.00
19-Oct,60400.00,"-3,448",-5.40%,382000.00
19-Sep,63800.00,"1,782",2.90%,660000.00
19-Aug,62000.00,"7,283",13.30%,518000.00
19-Jul,54700.00,"12,789",30.50%,434000.00
19-Jun,41900.00,"2,003",5%,350000.00
19-May,39900.00,"-2,804",-6.60%,233000.00
19-Apr,42700.00,"-4,967",-10.40%,311000.00
19-Mar,47700.00,"-22,767",-32.30%,832000.00
19-Feb,70500.00,"29,152",70.50%,515000.00
19-Jan,41300.00,"6,994",20.40%,195000.00
18-Dec,34300.00,"-3,349",-8.90%,273000.00
18-Nov,37700.00,"5,213",16.10%,298000.00
18-Oct,32500.00,"-65,796",-67%,220000.00
18-Sep,98300.00,"69,138",237%,867000.00
18-Aug,29100.00,"-6,891",-19.10%,187000.00
18-Jul,36000.00,"5,575",18.30%,237000.00
18-Jun,30400.00,"-5,078",-14.30%,279000.00
18-May,35500.00,"3,605",11.30%,225000.00
18-Apr,31900.00,"-5,855",-15.50%,335000.00
18-Mar,37800.00,"-17,761",-32%,504000.00
18-Feb,55500.00,"-37,942",-40.60%,373000.00
18-Jan,93500.00,"68,298",271%,1300000.00
17-Dec,25200.00,"-10,653",-29.70%,229000.00
17-Nov,35800.00,"-2,372",-6.20%,281000.00
17-Oct,38200.00,294,0.80%,575000.00
17-Sep,37900.00,"10,750",39.60%,288000.00
17-Aug,27200.00,"-64,282",-70.30%,207000.00
17-Jul,91400.00,"61,128",202%,947000.00
17-Jun,30300.00,"-1,478",-4.60%,275000.00
17-May,31800.00,"-19,046",-37.50%,195000.00
17-Apr,50800.00,"1,263",2.50%,417000.00
17-Mar,49600.00,"-10,568",-17.60%,501000.00
17-Feb,60100.00,"-37,216",-38.20%,461000.00
17-Jan,97400.00,"56,267",137%,1150000.00
16-Dec,41100.00,-,-,237000.00
