Month,Average,Gain,% Gain,Peak
20-Oct,7700.00,"-1,048",-12%,14600.00
20-Sep,8700.00,"-1,999",-18.70%,17200.00
20-Aug,10700.00,"-1,258",-10.50%,21900.00
20-Jul,12000.00,"-1,487",-11.10%,21100.00
20-Jun,13400.00,-322,-2.30%,118000.00
20-May,13800.00,"3,484",33.90%,40200.00
20-Apr,10300.00,"3,895",61%,58400.00
20-Mar,6400.00,670,11.70%,13000.00
20-Feb,5700.00,-197,-3.30%,11900.00
20-Jan,5900.00,727,14%,11300.00
19-Dec,5200.00,281,5.70%,35600.00
19-Nov,4900.00,-390,-7.40%,10300.00
19-Oct,5300.00,406,8.30%,43200.00
19-Sep,4900.00,"-2,417",-33.10%,9600.00
19-Aug,7300.00,-362,-4.70%,14900.00
19-Jul,7700.00,-378,-4.70%,47300.00
19-Jun,8000.00,"-1,091",-11.90%,15400.00
19-May,9100.00,"-1,325",-12.70%,55400.00
19-Apr,10500.00,-796,-7.10%,22000.00
19-Mar,11300.00,494,4.60%,23500.00
19-Feb,10800.00,"-2,950",-21.50%,66600.00
19-Jan,13700.00,"1,612",13.30%,56800.00
18-Dec,12100.00,"2,671",28.30%,22500.00
18-Nov,9400.00,508,5.70%,37000.00
18-Oct,8900.00,"-1,361",-13.20%,21200.00
18-Sep,10300.00,-696,-6.30%,20100.00
18-Aug,11000.00,83,0.80%,17400.00
18-Jul,10900.00,"1,458",15.40%,19500.00
18-Jun,9400.00,-837,-8.10%,23800.00
18-May,10300.00,110,1.10%,18100.00
18-Apr,10200.00,"2,017",24.70%,18200.00
18-Mar,8200.00,"3,024",59%,17200.00
18-Feb,5100.00,"1,947",61.20%,10500.00
18-Jan,3200.00,"1,154",57%,6400.00
17-Dec,2000.00,649,47.20%,3900.00
17-Nov,1400.00,56,4.20%,2600.00
17-Oct,1300.00,"1,028",352%,2300.00
17-Sep,292.00,98,50.50%,2100.00
17-Aug,194.00,-310,-61.50%,698.00
17-Jul,504.00,-,-,1300.00
