Month,Average,Gain,% Gain,Peak
20-Oct,111000.00,"3,470",3.20%,355000.00
20-Sep,108000.00,"-24,884",-18.70%,271000.00
20-Aug,133000.00,"-8,834",-6.20%,499000.00
20-Jul,142000.00,"-13,479",-8.70%,327000.00
20-Jun,155000.00,"-9,969",-6%,2280000.00
20-May,165000.00,"29,538",21.80%,625000.00
20-Apr,136000.00,"46,532",52.20%,1270000.00
20-Mar,89100.00,"9,427",11.80%,289000.00
20-Feb,79700.00,"7,336",10.10%,276000.00
20-Jan,72300.00,"-14,026",-16.20%,619000.00
19-Dec,86400.00,"4,900",6%,943000.00
19-Nov,81500.00,"-24,536",-23.10%,414000.00
19-Oct,10600.00,"22,077",26.30%,1690000.00
19-Sep,83900.00,"-35,687",-29.80%,335000.00
19-Aug,120000.00,"-2,092",-1.70%,335000.00
19-Jul,122000.00,"-7,133",-5.50%,1290000.00
19-Jun,129000.00,"-15,171",-10.50%,494000.00
19-May,144000.00,"4,582",3.30%,642000.00
19-Apr,139000.00,"3,197",2.30%,474000.00
19-Mar,136000.00,"11,243",9%,429000.00
19-Feb,125000.00,"-45,151",-26.50%,682000.00
19-Jan,170000.00,"11,661",7.40%,762000.00
18-Dec,158000.00,"5,579",3.60%,419000.00
18-Nov,153000.00,"2,278",1.50%,1060000.00
18-Oct,151000.00,"3,136",2.10%,582000.00
18-Sep,147000.00,"-29,406",-16.60%,729000.00
18-Aug,177000.00,"-28,371",-13.80%,698000.00
18-Jul,205000.00,"28,969",16.40%,835000.00
18-Jun,176000.00,"-17,990",-9.30%,1500000.00
18-May,194000.00,"15,545",8.70%,581000.00
18-Apr,179000.00,"19,375",12.20%,687000.00
18-Mar,159000.00,"61,757",63.30%,840000.00
18-Feb,97600.00,"35,966",58.40%,264000.00
18-Jan,61600.00,"17,819",40.70%,194000.00
17-Dec,43800.00,"11,314",34.80%,127000.00
17-Nov,32500.00,"10,764",49.50%,154000.00
17-Oct,21700.00,"15,218",233%,79200.00
17-Sep,6500.00,"4,669",252%,78400.00
17-Aug,1900.00,"-10,275",-84.70%,14600.00
17-Jul,12100.00,-,-,76100.00
