Month,Average,Gain,% Gain,Peak
20-Oct,4500.00,58,1.30%,8500.00
20-Sep,4400.00,40,0.90%,6800.00
20-Aug,4400.00,-5,-0.10%,7500.00
20-Jul,4400.00,213,5.10%,7300.00
20-Jun,4200.00,-566,-12%,7500.00
20-May,4700.00,-78,-1.60%,8300.00
20-Apr,4800.00,686,16.70%,8800.00
20-Mar,4100.00,455,12.40%,8400.00
20-Feb,3700.00,-306,-7.70%,7300.00
20-Jan,4000.00,873,28.20%,8000.00
19-Dec,3100.00,140,4.70%,6400.00
19-Nov,3000.00,-15,-0.50%,4500.00
19-Oct,3000.00,225,8.20%,5900.00
19-Sep,2700.00,88,3.30%,4500.00
19-Aug,2700.00,235,9.70%,5300.00
19-Jul,2400.00,-330,-12%,3400.00
19-Jun,2800.00,-95,-3.30%,3900.00
19-May,2800.00,101,3.70%,4100.00
19-Apr,2700.00,106,4%,4000.00
19-Mar,2600.00,-4,-0.20%,4000.00
19-Feb,2600.00,-372,-12.30%,4500.00
19-Jan,3000.00,652,27.60%,6100.00
18-Dec,2400.00,-4,-0.20%,3500.00
18-Nov,2400.00,176,8%,5000.00
18-Oct,2200.00,93,4.40%,3400.00
18-Sep,2100.00,117,5.90%,3100.00
18-Aug,2000.00,144,7.80%,2800.00
18-Jul,1800.00,-3,-0.20%,2800.00
18-Jun,1800.00,-96,-5%,3300.00
18-May,1900.00,-90,-4.40%,2800.00
18-Apr,2000.00,-108,-5.10%,3900.00
18-Mar,2100.00,-192,-8.20%,3200.00
18-Feb,2300.00,-57,-2.40%,3500.00
18-Jan,2400.00,497,26.30%,4800.00
17-Dec,1900.00,22,1.20%,3200.00
17-Nov,1900.00,90,5.10%,2900.00
17-Oct,1800.00,70,4.10%,2800.00
17-Sep,1700.00,12,0.70%,2600.00
17-Aug,1700.00,-54,-3.10%,2700.00
17-Jul,1700.00,151,9.40%,2500.00
17-Jun,1600.00,-62,-3.70%,2400.00
17-May,1700.00,22,1.30%,2500.00
17-Apr,1600.00,40,2.50%,2500.00
17-Mar,1600.00,-201,-11.20%,2500.00
17-Feb,1800.00,-40,-2.20%,2800.00
17-Jan,1800.00,169,10.10%,2900.00
16-Dec,1700.00,-,-,2500.00
