Month,Average,Gain,% Gain,Peak
20-Oct,226000.00,"38,062",20.30%,1420000.00
20-Sep,187000.00,"-4,196",-2.20%,795000.00
20-Aug,192000.00,"9,710",5.30%,730000.00
20-Jul,182000.00,"-16,987",-8.50%,505000.00
20-Jun,199000.00,"27,389",16%,561000.00
20-May,172000.00,"-17,221",-9.10%,507000.00
20-Apr,189000.00,"22,589",13.60%,736000.00
20-Mar,166000.00,"-8,626",-4.90%,430000.00
20-Feb,175000.00,"40,802",30.40%,402000.00
20-Jan,134000.00,"28,209",26.70%,348000.00
19-Dec,106000.00,"-26,401",-20%,232000.00
19-Nov,132000.00,"-37,436",-22.10%,1740000.00
19-Oct,170000.00,"61,921",57.50%,110000.00
19-Sep,108000.00,"-7,966",-6.90%,654000.00
19-Aug,116000.00,"24,003",26.20%,436000.00
19-Jul,91700.00,"-32,105",-25.90%,275000.00
19-Jun,124000.00,"-14,383",-10.40%,322000.00
19-May,138000.00,"9,795",7.60%,816000.00
19-Apr,128000.00,"-17,402",-11.90%,548000.00
19-Mar,146000.00,"4,372",3.10%,377000.00
19-Feb,141000.00,"8,271",6.20%,370000.00
19-Jan,133000.00,"36,312",37.50%,400000.00
18-Dec,96800.00,"-20,466",-17.40%,344000.00
18-Nov,117000.00,"-29,350",-20%,1130000.00
18-Oct,147000.00,"40,318",37.90%,923000.00
18-Sep,106000.00,"-2,928",-2.70%,424000.00
18-Aug,109000.00,"7,204",7.10%,934000.00
18-Jul,102000.00,"1,433",1.40%,232000.00
18-Jun,101000.00,"-9,648",-8.70%,244000.00
18-May,110000.00,"7,111",6.90%,511000.00
18-Apr,103000.00,"-16,189",-13.60%,486000.00
18-Mar,119000.00,"-1,368",-1.10%,364000.00
18-Feb,121000.00,"1,079",0.90%,305000.00
18-Jan,120000.00,"26,117",27.90%,440000.00
17-Dec,93500.00,"-21,646",-18.80%,325000.00
17-Nov,115000.00,"-12,000",-9.40%,1090000.00
17-Oct,127000.00,"23,869",23.10%,886000.00
17-Sep,103000.00,"6,556",6.80%,376000.00
17-Aug,96700.00,"-17,043",-15%,350000.00
17-Jul,114000.00,"-3,762",-3.20%,326000.00
17-Jun,118000.00,-824,-0.70%,281000.00
17-May,118000.00,"3,203",2.80%,648000.00
17-Apr,115000.00,"-6,890",-5.60%,488000.00
17-Mar,122000.00,"-25,783",-17.40%,326000.00
17-Feb,148000.00,"14,149",10.60%,391000.00
17-Jan,134000.00,"24,336",22.30%,378000.00
16-Dec,109000.00,-,-,334000.00
