Month,Average,Gain,% Gain,Peak
Oct-20,8.7K,-230,-2.60%,22.1K
Sep-20,8.9K,-189,-2.10%,17.4K
Aug-20,9.1K,377,4.30%,32.0K
Jul-20,8.7K,"1,170",15.50%,16.6K
Jun-20,7.5K,-345,-4.40%,13.9K
May-20,7.9K,181,2.40%,14.8K
Apr-20,7.7K,"1,947",33.90%,13.2K
Mar-20,5.7K,"4,364",316%,13.9K
Feb-20,1.4K,271,24.40%,3.5K
Jan-20,1.1K,-200,-15.30%,2.5K
Dec-19,1.3K,-661,-33.60%,2.8K
Nov-19,2.0K,928,89.10%,4.8K
Oct-19,1.0K,438,72.50%,13.3K
Sep-19,604,524,655%,7.3K
Aug-19,80,79,+7.9K%,1.8K
Jul-19,1,-,-,101
Jun-19,1,-2,-66.70%,6
May-19,3,-,-,78
