Month,Average,Gain,% Gain,Peak
Oct-20,1.5K,54,3.80%,2.8K
Sep-20,1.4K,-9,-0.60%,2.6K
Aug-20,1.4K,-159,-9.90%,2.5K
Jul-20,1.6K,-351,-18%,3.1K
Jun-20,1.9K,-449,-18.70%,4.2K
May-20,2.4K,-354,-12.90%,4.8K
Apr-20,2.8K,719,35.40%,5.6K
Mar-20,2.0K,400,24.50%,4.7K
Feb-20,1.6K,-4,-0.20%,3.2K
Jan-20,1.6K,321,24.40%,3.4K
Dec-19,1.3K,78,6.30%,2.7K
Nov-19,1.2K,-18,-1.40%,2.5K
Oct-19,1.3K,-14,-1.10%,2.6K
Sep-19,1.3K,-40,-3.10%,2.4K
Aug-19,1.3K,82,6.70%,2.3K
Jul-19,1.2K,58,5%,2.2K
Jun-19,1.2K,14,1.20%,2.1K
May-19,1.2K,-18,-1.50%,2.3K
Apr-19,1.2K,-55,-4.50%,2.3K
Mar-19,1.2K,120,10.80%,2.5K
Feb-19,1.1K,-304,-21.50%,2.6K
Jan-19,1.4K,239,20.40%,2.9K
Dec-18,1.2K,163,16.10%,3.2K
Nov-18,1.0K,44,4.60%,2.0K
Oct-18,967,-10,-1%,1.9K
Sep-18,977,-45,-4.40%,1.9K
Aug-18,1.0K,88,9.40%,1.9K
Jul-18,934,100,12%,1.7K
Jun-18,834,11,1.30%,1.6K
May-18,823,-97,-10.50%,1.6K
Apr-18,920,-142,-13.40%,1.9K
Mar-18,1.1K,-96,-8.30%,2.3K
Feb-18,1.2K,104,9.90%,2.3K
Jan-18,1.1K,177,20.20%,2.0K
Dec-17,877,79,9.90%,1.7K
Nov-17,798,1,0.10%,1.6K
Oct-17,797,23,3%,1.6K
Sep-17,774,-90,-10.40%,1.5K
Aug-17,864,24,2.90%,1.6K
Jul-17,840,52,6.60%,1.6K
Jun-17,788,-45,-5.40%,1.5K
May-17,833,-43,-4.90%,1.7K
Apr-17,876,-68,-7.20%,1.8K
Mar-17,944,-65,-6.40%,2.1K
Feb-17,1.0K,72,7.70%,2.1K
Jan-17,937,137,17.10%,2.2K
Dec-16,800,-,-,1.7K
