Month,Average,Gain,% Gain,Peak
Oct-20,4.5K,58,1.30%,8.5K
Sep-20,4.4K,40,0.90%,6.8K
Aug-20,4.4K,-5,-0.10%,7.5K
Jul-20,4.4K,213,5.10%,7.3K
Jun-20,4.2K,-566,-12%,7.5K
May-20,4.7K,-78,-1.60%,8.3K
Apr-20,4.8K,686,16.70%,8.8K
Mar-20,4.1K,455,12.40%,8.4K
Feb-20,3.7K,-306,-7.70%,7.3K
Jan-20,4.0K,873,28.20%,8.0K
Dec-19,3.1K,140,4.70%,6.4K
Nov-19,3.0K,-15,-0.50%,4.5K
Oct-19,3.0K,225,8.20%,5.9K
Sep-19,2.7K,88,3.30%,4.5K
Aug-19,2.7K,235,9.70%,5.3K
Jul-19,2.4K,-330,-12%,3.4K
Jun-19,2.8K,-95,-3.30%,3.9K
May-19,2.8K,101,3.70%,4.1K
Apr-19,2.7K,106,4%,4.0K
Mar-19,2.6K,-4,-0.20%,4.0K
Feb-19,2.6K,-372,-12.30%,4.5K
Jan-19,3.0K,652,27.60%,6.1K
Dec-18,2.4K,-4,-0.20%,3.5K
Nov-18,2.4K,176,8%,5.0K
Oct-18,2.2K,93,4.40%,3.4K
Sep-18,2.1K,117,5.90%,3.1K
Aug-18,2.0K,144,7.80%,2.8K
Jul-18,1.8K,-3,-0.20%,2.8K
Jun-18,1.8K,-96,-5%,3.3K
May-18,1.9K,-90,-4.40%,2.8K
Apr-18,2.0K,-108,-5.10%,3.9K
Mar-18,2.1K,-192,-8.20%,3.2K
Feb-18,2.3K,-57,-2.40%,3.5K
Jan-18,2.4K,497,26.30%,4.8K
Dec-17,1.9K,22,1.20%,3.2K
Nov-17,1.9K,90,5.10%,2.9K
Oct-17,1.8K,70,4.10%,2.8K
Sep-17,1.7K,12,0.70%,2.6K
Aug-17,1.7K,-54,-3.10%,2.7K
Jul-17,1.7K,151,9.40%,2.5K
Jun-17,1.6K,-62,-3.70%,2.4K
May-17,1.7K,22,1.30%,2.5K
Apr-17,1.6K,40,2.50%,2.5K
Mar-17,1.6K,-201,-11.20%,2.5K
Feb-17,1.8K,-40,-2.20%,2.8K
Jan-17,1.8K,169,10.10%,2.9K
Dec-16,1.7K,-,-,2.5K
