Month,Average,Gain,% Gain,Peak,,Month,Average,Gain,% Gain,Peak,,Month,Value,Gain,% Gain
Oct-20,226K,"38,062",20.30%,1.42M,,Oct-20,4.5K,58,1.30%,8.5K,,Oct-20,125M,-10.4M,-7.70%
Sep-20,187K,"-4,196",-2.20%,795K,,Sep-20,4.4K,40,0.90%,6.8K,,Sep-20,135M,-7.58M,-5.30%
Aug-20,192K,"9,710",5.30%,730K,,Aug-20,4.4K,-5,-0.10%,7.5K,,Aug-20,142M,+7.25M,5.40%
Jul-20,182K,"-16,987",-8.50%,505K,,Jul-20,4.4K,213,5.10%,7.3K,,Jul-20,135M,-7.69M,-5.40%
Jun-20,199K,"27,389",16%,561K,,Jun-20,4.2K,-566,-12%,7.5K,,Jun-20,143M,+15.7M,12.40%
May-20,172K,"-17,221",-9.10%,507K,,May-20,4.7K,-78,-1.60%,8.3K,,May-20,127M,-8.03M,-5.90%
Apr-20,189K,"22,589",13.60%,736K,,Apr-20,4.8K,686,16.70%,8.8K,,Apr-20,135M,+11.8M,9.60%
Mar-20,166K,"-8,626",-4.90%,430K,,Mar-20,4.1K,455,12.40%,8.4K,,Mar-20,123M,+2.03M,1.70%
Feb-20,175K,"40,802",30.40%,402K,,Feb-20,3.7K,-306,-7.70%,7.3K,,Feb-20,121M,+21.7M,21.70%
Jan-20,134K,"28,209",26.70%,348K,,Jan-20,4.0K,873,28.20%,8.0K,,Jan-20,99.7M,+21.2M,27%
Dec-19,106K,"-26,401",-20%,232K,,Dec-19,3.1K,140,4.70%,6.4K,,Dec-19,78.5M,-13.3M,-14.40%
Nov-19,132K,"-37,436",-22.10%,1.74M,,Nov-19,3.0K,-15,-0.50%,4.5K,,Nov-19,91.8M,-29.3M,-24.20%
0/2019,170K,"61,921",57.50%,1.10M,,Oct-19,3.0K,225,8.20%,5.9K,,Oct-19,121M,+43.6M,56.20%
Sep-19,108K,"-7,966",-6.90%,654K,,Sep-19,2.7K,88,3.30%,4.5K,,Sep-19,77.6M,-8.53M,-9.90%
